P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,label
1197.9042816537212,843.9079992240136,-1457.7968548672402,-209.20966962125163,-545.5728189994458,97.58644207371742,327.8823387100294,290.56728498153205,350.5213884039045,-808.0918084142604,213.24039086473533,140.50998063116572,-128.22765643030775,-198.16281339114622,-84.69656114339305,1
2338.493050165425,595.170432028731,368.3278772002002,-928.3157093005186,-1978.4117532708833,-298.7273705964892,952.8389954013858,-278.3782719892345,310.0857637621109,52.50469879811222,-145.9786519386547,208.72381375008354,-88.13633501014287,795.6091033402564,378.30720537704855,1
2115.6818358824075,298.87092991771686,-779.0068265284448,26.236398638825236,-811.7810449937318,846.1876504706421,342.8166797225783,-192.94311511232607,873.4273149524251,-634.0111477948572,441.22673996824716,-404.7226391863697,350.5001212254899,92.4555325714902,-381.65403887856326,1
2546.2789822658674,911.8205535745159,185.60034737846703,-2138.95382434114,7.910225590021636,642.7484235485086,-515.3646445795695,760.6230295226595,-379.67702820949165,-698.280410916622,431.82395400698937,-116.79873240484481,-400.47670781300104,-126.34713189483398,-382.8871828753481,1
2861.115970590592,634.0038392876228,-86.69845508769957,-1670.8345252795964,-177.62019458501064,362.3498975179332,421.1681803190638,-174.34748608158802,-76.4935611184302,-93.91042101331102,10.169635065300746,133.63905348095227,-358.9457262684251,647.7069497432409,53.408477114425246,1
1984.2081080159483,892.8318730801324,14.462042970294815,-1342.7461665183378,-1299.289906174184,324.04808724584,-413.747838060122,873.8081403208063,-310.5695882227211,-564.9723927961152,304.35631640456944,98.06752693477604,-153.85970812078253,-2.9232563318965408,-540.5733732714629,1
1876.174596293242,590.6542947202953,-877.2083963348036,-785.26345638324,-886.3867434300901,719.0400970488116,289.14514189793346,484.27978277930026,152.39195157316283,-555.3422286394386,115.3328692964126,672.4831427650067,-460.884351494812,-194.25000696928296,288.87655422661743,1
2200.8096144356273,336.1766603454162,-836.0027420847578,-1536.2326277919817,970.191414029571,707.1803874760009,456.36669137897553,159.13755744169003,312.5857591251256,-867.9985111440556,367.65417279355506,152.3855976149334,-498.1937612313274,360.5829431051633,-55.58630373623731,1
2153.3847212362207,939.6589766224336,-321.038305529805,-1977.895000369658,561.9966432496008,1045.1198765850659,530.8229747023756,-119.17996690101951,-228.7031769208388,-403.98625075397194,227.3702543008222,665.0818635346255,-967.9273558510882,119.91038698199112,-7.64359933123578,1
2057.900039730372,747.6789748843458,-715.548004773572,-1218.7673927540852,507.4343194924736,-160.1589118968791,422.08934837191464,-498.54161536519797,263.1111285178977,-507.1798897820063,-153.90261892521588,-232.79749730246928,33.65621753431794,406.9264010934092,117.6093105110328,1
683.7084425792402,-546.3403625580144,-1051.858371578663,-500.3383488378801,-105.23918972693612,264.5854847503049,-666.4318953870899,-363.4612106321533,274.36938913692006,-325.17439747778553,331.4543626052252,-296.9408799259908,113.4409132034285,478.6769604326803,-557.9270670455904,2
593.2103461267973,-488.2044269326534,-1252.0161424158923,13.587927473539107,-462.86242223506156,312.5724612522302,-130.8332362765097,-533.0686661563225,550.6018479936967,-287.34122369279504,-118.50248369872808,-8.360400557155547,226.85590577329955,676.3526194978874,-476.74906716378365,2
796.2904512730096,-597.0783226049869,-1022.5316929351799,-128.36962582240827,-159.5602479082028,387.2142138675703,-450.9741164884626,-442.5777373642146,590.3830772735039,-383.87178013967764,118.59819547787004,-170.6640752593924,344.7000691156323,781.9725518686951,-613.6190481244261,2
553.6400650464092,-626.64030176047,-1205.9208162172906,-32.917917389951,-430.7558527630908,355.99027111888415,-98.59077370082126,-598.6890638302453,593.7442052015515,-193.1978886338977,-141.3911251820614,-15.37000935885034,283.2405354298874,551.3735032097861,-459.6212562959009,2
697.6967192614078,-396.67175264992375,-1066.002367430308,-336.58087159522637,-616.7263008135667,222.5558252476619,-415.1358020879261,-415.9735228375705,480.38876770495835,-221.1882115586606,29.217372259786906,122.59752052791711,-179.8491962664389,436.27499921962186,-411.4243420375078,2
343.39307514162664,-515.3372827952273,-1199.9616641379957,168.1552801476822,-791.3190704149209,-108.11196377454083,95.38745670969294,-608.8729525940796,408.09844218638545,-198.89653792096215,-263.14121726338993,-16.30023542730847,283.18446335204754,596.1715616409102,-240.26548644679167,2
1081.4207969787392,-734.720425910971,-528.2798215886834,-388.14429141142654,-121.80591428665053,250.50053739609726,-579.6599665772496,-384.1063870356467,846.7032258009668,-277.0995876350349,319.3448794484536,-322.1362426404777,663.7670981401385,714.1734608955504,-644.4102692152375,2
861.2556562235899,-664.4897479949196,-892.1057862447128,-235.1051389677209,-186.96126299893348,274.10308931112394,-442.14301595461524,-434.46568470769654,710.6766622164549,-325.80353938485786,202.71728815717617,-193.68407994442083,528.5847116181695,709.8297056531624,-630.9438824696779,2
638.9683186928713,-1054.6186454834226,-775.8227730776516,352.91340844328687,-744.324916165739,58.581691282293704,339.63427197347494,-763.354263308224,415.6808971998739,-86.10425282973755,187.7031086758423,14.581077021440388,486.47927745735217,625.1195921513607,-246.43336346279392,2
1035.5610143354652,-563.5765887061582,-706.9608233480084,-267.1679680025807,-480.8930586812941,198.5209429889923,-528.3602792686223,-428.08757116912756,752.1806229246896,-180.03364995716586,144.57833984202733,-106.09853805359232,496.3470937536181,803.5236522416263,-434.05569023236654,2
110.02307127350902,327.2739424069818,382.4979628431042,440.59018892177784,837.4667737065269,-552.7259520668215,198.04406537722298,-262.60733847067434,434.7301933980562,329.1918520407424,-286.2740154677743,514.7531242858603,-75.12897013670418,-346.9771350132753,-245.48917713218512,3
3.6649295786933234,500.1477718589648,474.4714456628052,-125.8964451765241,1047.8259563718311,-393.32530879127563,323.61169860371115,-226.7003705662301,-41.00095353950922,330.29757217033824,-779.0193567725202,251.31832347447397,125.83851255355063,306.9673662321542,-198.40606099917684,3
248.44344055783287,481.3632017898551,287.62811023890276,-105.09701273255904,1239.9702205481326,-402.6098946591228,280.1946929228082,-164.13910778804797,207.74183125331157,203.70173714039294,-841.7240292046774,203.1109785037313,28.357925120369657,20.121768308528445,-376.94349195385826,3
